Primary.Site,Case.ID,tissue
Bladder,TCGA-XF-A9SK-01A,Bladder
Bladder,TCGA-XF-A9SL-01A,Bladder
Bladder,TCGA-XF-A9SM-01A,Bladder
Bladder,TCGA-XF-A9SP-01A,Bladder
Bladder,TCGA-XF-A9SU-01A,Bladder
Bladder,TCGA-XF-A9SV-01A,Bladder
Bladder,TCGA-XF-A9SW-01A,Bladder
Bladder,TCGA-XF-A9SX-01A,Bladder
Bladder,TCGA-XF-A9SY-01A,Bladder
Bladder,TCGA-XF-A9SZ-01A,Bladder
Bladder,TCGA-XF-A9T0-01A,Bladder
Bladder,TCGA-XF-A9T2-01A,Bladder
Bladder,TCGA-XF-A9T3-01A,Bladder
Bladder,TCGA-XF-A9T4-01A,Bladder
Bladder,TCGA-XF-A9T5-01A,Bladder
Bladder,TCGA-XF-A9T6-01A,Bladder
Bladder,TCGA-XF-A9T8-01A,Bladder
Bladder,TCGA-XF-AAME-01A,Bladder
Bladder,TCGA-XF-AAMG-01A,Bladder
Bladder,TCGA-XF-AAMH-01A,Bladder
Bladder,TCGA-XF-AAMJ-01A,Bladder
Bladder,TCGA-XF-AAML-01A,Bladder
Bladder,TCGA-XF-AAMQ-01A,Bladder
Bladder,TCGA-XF-AAMR-01A,Bladder
Bladder,TCGA-XF-AAMT-01A,Bladder
Bladder,TCGA-XF-AAMW-01A,Bladder
Bladder,TCGA-XF-AAMX-01A,Bladder
Bladder,TCGA-XF-AAMY-01A,Bladder
Bladder,TCGA-XF-AAMZ-01A,Bladder
Bladder,TCGA-XF-AAN0-01A,Bladder
Bladder,TCGA-XF-AAN1-01A,Bladder
Bladder,TCGA-XF-AAN2-01A,Bladder
Bladder,TCGA-XF-AAN3-01A,Bladder
Bladder,TCGA-XF-AAN4-01A,Bladder
Bladder,TCGA-XF-AAN5-01A,Bladder
Bladder,TCGA-XF-AAN7-01A,Bladder
Bladder,TCGA-XF-AAN8-01A,Bladder
Bladder,TCGA-YC-A89H-01A,Bladder
Bladder,TCGA-YC-A8S6-01A,Bladder
Bladder,TCGA-YC-A9TC-01A,Bladder
Bladder,TCGA-YF-AA3L-01A,Bladder
Bladder,TCGA-YF-AA3M-01A,Bladder
Bladder,TCGA-ZF-A9R0-01A,Bladder
Bladder,TCGA-ZF-A9R1-01A,Bladder
Bladder,TCGA-ZF-A9R2-01A,Bladder
Bladder,TCGA-ZF-A9R3-01A,Bladder
Bladder,TCGA-ZF-A9R4-01A,Bladder
Bladder,TCGA-ZF-A9R5-01A,Bladder
Bladder,TCGA-ZF-A9R7-01A,Bladder
Bladder,TCGA-ZF-A9R9-01A,Bladder
Bladder,TCGA-ZF-A9RC-01A,Bladder
Bladder,TCGA-ZF-A9RD-01A,Bladder
Bladder,TCGA-ZF-A9RE-01A,Bladder
Bladder,TCGA-ZF-A9RF-01A,Bladder
Bladder,TCGA-ZF-A9RL-01A,Bladder
Bladder,TCGA-ZF-A9RM-01A,Bladder
Bladder,TCGA-ZF-A9RN-01A,Bladder
Bladder,TCGA-ZF-AA4N-01A,Bladder
Bladder,TCGA-ZF-AA4R-01A,Bladder
Bladder,TCGA-ZF-AA4T-01A,Bladder
Bladder,TCGA-ZF-AA4U-01A,Bladder
Bladder,TCGA-ZF-AA4V-01A,Bladder
Bladder,TCGA-ZF-AA4W-01A,Bladder
Bladder,TCGA-ZF-AA4X-01A,Bladder
Bladder,TCGA-ZF-AA51-01A,Bladder
Bladder,TCGA-ZF-AA52-01A,Bladder
Bladder,TCGA-ZF-AA53-01A,Bladder
Bladder,TCGA-ZF-AA54-01A,Bladder
Bladder,TCGA-ZF-AA56-01A,Bladder
Bladder,TCGA-ZF-AA58-01A,Bladder
Bladder,TCGA-ZF-AA5H-01A,Bladder
Bladder,TCGA-ZF-AA5N-01A,Bladder
Bladder,TCGA-ZF-AA5P-01A,Bladder
Breast,TCGA-3C-AAAU-01A,Breast
Breast,TCGA-3C-AALI-01A,Breast
Breast,TCGA-3C-AALJ-01A,Breast
Breast,TCGA-3C-AALK-01A,Breast
Breast,TCGA-4H-AAAK-01A,Breast
Breast,TCGA-5L-AAT0-01A,Breast
Breast,TCGA-5L-AAT1-01A,Breast
Breast,TCGA-5T-A9QA-01A,Breast
Breast,TCGA-A1-A0SB-01A,Breast
Breast,TCGA-A1-A0SD-01A,Breast
Breast,TCGA-A1-A0SE-01A,Breast
Breast,TCGA-A1-A0SF-01A,Breast
Breast,TCGA-A1-A0SG-01A,Breast
Breast,TCGA-A1-A0SH-01A,Breast
Breast,TCGA-A1-A0SI-01A,Breast
Breast,TCGA-A1-A0SJ-01A,Breast
Breast,TCGA-A1-A0SK-01A,Breast
Breast,TCGA-A1-A0SM-01A,Breast
