gene_id,housekeeping_genes,high_corr,low_CV_rank,high_CV_rank,high_feature,tRNA_related,rRNA_ribosome,high_feature_2
ENSG00000015592.15,0,1,0,1,0,0,0,1
ENSG00000015676.16,0,0,1,0,0,0,0,0
ENSG00000016082.13,0,0,0,1,0,0,0,1
ENSG00000016490.14,0,0,0,1,0,0,0,0
ENSG00000016602.9,0,0,0,1,0,0,0,0
ENSG00000016864.15,1,1,1,0,0,0,0,0
ENSG00000017260.18,1,0,1,0,1,0,0,0
ENSG00000017797.10,1,0,1,0,0,1,0,0
ENSG00000018408.13,0,0,0,0,1,0,1,0
ENSG00000018510.11,1,0,0,0,1,0,0,0
ENSG00000018625.13,0,1,0,1,0,0,0,0
ENSG00000018699.10,0,1,0,0,0,0,0,0
ENSG00000018869.15,0,1,0,0,0,0,0,0
ENSG00000019102.10,0,0,0,1,0,0,0,0
ENSG00000019169.10,0,0,0,1,0,0,0,1
ENSG00000019186.8,0,0,0,1,0,0,0,0
ENSG00000019505.6,0,0,0,1,0,0,0,0
ENSG00000019549.7,0,1,0,0,0,0,0,0
ENSG00000019582.13,0,0,1,0,0,0,1,1
ENSG00000019991.14,0,0,0,0,0,1,0,0
ENSG00000019995.6,1,1,0,0,0,0,0,0
ENSG00000020129.14,0,0,0,0,1,0,0,0
ENSG00000020256.18,0,1,0,0,0,0,0,0
ENSG00000020426.9,1,0,0,0,1,1,1,0
ENSG00000020633.17,0,1,0,0,0,0,1,0
ENSG00000020922.11,0,0,0,0,1,1,0,0
ENSG00000021355.11,0,1,0,0,0,0,0,1
ENSG00000021461.15,0,0,0,1,0,0,0,0
ENSG00000021488.11,0,0,0,1,0,0,0,0
ENSG00000021776.9,0,0,1,0,1,0,0,0
ENSG00000021852.11,0,0,0,1,0,0,0,0
ENSG00000022277.11,0,0,1,0,0,0,0,0
ENSG00000022355.13,0,0,0,1,0,0,0,1
ENSG00000022556.14,0,0,0,1,0,0,1,0
ENSG00000022840.14,1,0,1,0,0,0,0,0
ENSG00000022976.14,0,0,0,0,1,0,0,0
ENSG00000023041.10,0,0,1,0,1,0,0,0
ENSG00000023171.13,0,0,0,0,0,1,0,0
ENSG00000023191.15,1,0,1,0,0,1,0,0
ENSG00000023228.12,0,0,1,0,0,0,0,0
ENSG00000023287.11,1,0,1,0,0,1,0,0
ENSG00000023318.7,1,0,1,0,0,1,0,1
ENSG00000023516.8,0,0,0,0,1,0,0,0
ENSG00000023572.7,1,0,0,0,0,0,0,0
ENSG00000023608.4,0,0,0,0,0,1,1,0
ENSG00000023697.11,1,0,0,0,0,0,0,0
ENSG00000023734.9,1,0,1,0,0,1,0,0
ENSG00000023839.9,0,0,0,1,0,0,0,0
ENSG00000023902.12,0,0,0,0,1,0,0,0
ENSG00000023909.8,1,0,0,0,0,0,1,0
ENSG00000024048.9,1,0,1,0,1,1,0,0
ENSG00000024526.15,0,1,0,0,0,0,0,0
ENSG00000024862.15,0,1,0,0,1,0,0,0
ENSG00000025156.11,0,0,0,0,1,0,0,0
ENSG00000025293.14,0,0,1,0,1,0,0,0
ENSG00000025708.11,0,1,0,0,0,0,0,0
ENSG00000025770.17,1,0,0,0,1,0,0,0
ENSG00000025772.7,0,0,0,0,1,0,0,0
ENSG00000025796.12,1,0,1,0,0,1,0,0
ENSG00000025800.12,0,1,1,0,0,0,0,0
ENSG00000026025.12,0,0,1,0,0,0,0,1
