gene_id,ig_rank,saliency_rank,gbp_rank,gs_rank
ENSG00000187862.10,355.4938254,15.63862241,15.63862241,194.3551338
ENSG00000052802.11,702.1519904,15.63792656,15.63792656,57.47252399
ENSG00000179409.9,710.5961433,15.63738559,15.63738559,57.83677784
ENSG00000039560.12,661.1974087,15.63151796,15.63151796,72.7399818
ENSG00000102445.17,510.8994464,15.63056508,15.63056508,102.0250171
ENSG00000125534.8,896.4163166,15.62901195,15.62901195,65.74441479
ENSG00000125827.7,755.1919375,15.62822527,15.62822527,56.58339249
ENSG00000155660.9,830.0676416,15.62582466,15.62582466,60.40910227
ENSG00000081760.15,708.6653509,15.6249415,15.6249415,58.69875178
ENSG00000160883.9,422.6843311,15.62457841,15.62457841,86.95365763
ENSG00000080839.10,529.7878729,15.62353902,15.62353902,61.07389634
ENSG00000075785.11,903.0662402,15.62204365,15.62204365,46.70771109
ENSG00000113460.11,580.1476724,15.62005798,15.62005798,49.38880362
ENSG00000146729.8,773.2043203,15.61901225,15.61901225,57.45713161
ENSG00000119688.19,717.5570147,15.61826895,15.61826895,45.75824451
ENSG00000129055.11,840.7924867,15.61685482,15.61685482,46.77449592
ENSG00000108474.15,537.6881301,15.61460525,15.61460525,44.0569482
ENSG00000121966.6,653.9423842,15.61459066,15.61459066,83.51944504
ENSG00000276085.1,647.9461387,15.61427331,15.61427331,164.7201801
ENSG00000166170.9,668.4634455,15.61420536,15.61420536,42.64347162
ENSG00000108604.14,813.0604291,15.61215018,15.61215018,61.1696864
ENSG00000161547.13,852.0721306,15.60829329,15.60829329,53.36056185
ENSG00000135521.8,627.2038495,15.60616618,15.60616618,48.02849686
ENSG00000259803.5,351.971251,15.60593618,15.60593618,217.3972494
ENSG00000162692.9,568.7385324,15.60268617,15.60268617,103.3526772
ENSG00000196418.11,444.7932318,15.60089287,15.60089287,56.95361813
ENSG00000026652.12,553.7249068,15.60025771,15.60025771,80.03584807
ENSG00000125850.9,492.1838584,15.5977879,15.5977879,215.8589715
ENSG00000108509.19,705.6719759,15.5970827,15.5970827,41.72254286
ENSG00000214756.6,433.5804143,15.59514126,15.59514126,47.11528484
ENSG00000163739.4,836.9370381,15.59468276,15.59468276,313.1963575
ENSG00000158050.4,714.1773373,15.59312764,15.59312764,114.1629937
ENSG00000139572.3,354.1600656,15.58995357,15.58995357,97.26539767
ENSG00000132341.10,929.4530498,15.58866533,15.58866533,62.91603498
ENSG00000123342.14,525.9515363,15.58818621,15.58818621,93.50390798
